name,address,categories,latitude,longitude,yelp_id
Snack Lab,"102 SE 28th St, Ste 2, Bentonville, AR 72712","['Breakfast & Brunch', 'Juice Bars & Smoothies', 'Salad']",36.3427528,-94.210724,VdgIqB6zHMqJRR9cCc6DOg
Yummy House,"1402 Shane Ln, Bentonville, AR 72712","['Chinese', 'Sushi Bars', 'Asian Fusion']",36.35594,-94.20234,itUzTR78ccU7txEFJIL-CQ
Doe's Eat Place,"2806 S Walton Blvd, Bentonville, AR 72712",['Steakhouses'],36.34392,-94.21178,y7MQ-27WcvZGUC5yGXy6mQ
Street Ninja,"1344 Benton St, Ste 10, Bentonville, AR 72712","['Asian Fusion', 'Seafood', 'Sushi Bars']",36.357229,-94.207854,kFhF26fye7PPIl3wg_8Erg
Kirpa Indian Cuisine,"1100 SE 14th St 4, Ste 4, Bentonville, AR 72712","['Indian', 'Desserts']",36.356112992461455,-94.1961259,GeCllVU7H97riGBDKt9HTQ
ArkanSeoul Korean Food Company,"1335 S Main St, Ste 1, Bentonville, AR 72712","['Korean', 'Chicken Wings', 'Asian Fusion']",36.357251,-94.208965,HPMBMmrAGeB32-QaLZWeKA
Ozark Mountain Bagel,"214 SE Walton Blvd, Bentonville, AR 72712","['Breakfast & Brunch', 'Bagels', 'Sandwiches']",36.33485230754644,-94.2081577323358,JDHFAqVv12VLzWYJ2HOVmw
Johnny Brusco's New York Style Pizza,"700 SE Walton Blvd, Ste 10, Bentonville, AR 72712","['Italian', 'Pizza', 'Sandwiches']",36.334907,-94.202582,SI2BQikctTXyYTu1dOc6mQ
Umai Hot Pot And Asian Cusine,"4408 W Walnut St, Ste 5, Rogers, AR 72756","['Hot Pot', 'Asian Fusion']",36.333048,-94.179005,MJcnZHdlSunBP74qyAuQvw
Vivace Mediterranean Cuisine,"1100 SE 14th St, Bentonville, AR 72712",['Mediterranean'],36.356022,-94.196217,wMFymZabhZFvfR_I5wCwUQ
First Watch,"500 SE Walton Blvd, STE 24, Bentonville, AR 72712","['Breakfast & Brunch', 'Cafes', 'American']",36.334776568987195,-94.2043099194855,N_5rmiLu-XIKWPoErYJMgA
Big Whiskey's American Bar & Restaurant,"3600 SE Guess Who Dr, Ste 2, Bentonville, AR 72712","['Sports Bars', 'American']",36.3351262981508,-94.208158,IdR2rbgRpCt0QkWzrkPhFA
Thai Cuisine,"1100 SE 14th St, Ste 8, Bentonville, AR 72712",['Thai'],36.3560215,-94.196302,NMKu1Y1AMXQG_Do5A1pNgQ
Isabella’s,"1400 SE Walton Blvd, Bentonville, AR 72712","['Italian', 'Desserts', 'Cocktail Bars']",36.33385694395292,-94.19147033285854,kRREOAPjUQHHKI-n1o7VTQ
Stone Mill Cafe,"2903 S Walton Blvd, Bentonville, AR 72712","['Breakfast & Brunch', 'Bakeries', 'Sandwiches']",36.341904,-94.210458,EHMXTvfdJJnp7hG3poY0aA
Rush Bowls,"3511 SE J St, Ste 5, Bentonville, AR 72712","['Acai Bowls', 'Breakfast & Brunch', 'Juice Bars & Smoothies']",36.335885,-94.196855,7q0H9Dk38IY5nnEUdq507w
Waldo's Chicken & Beer,"700 SE Walton Blvd, Bentonville, AR 72712","['Chicken Shop', 'Beer Bar', 'Sandwiches']",36.33501,-94.20306,RspW4lvk3H-mrnJTipDbNA
Hutch's Hot chicken,"201 SW 14th St, Bentonville, AR 72712","['Burgers', 'Chicken Wings', 'Sandwiches']",36.35617879246871,-94.2110511918424,-2P0salf_xr5T_g33vcbBA
