,name,address,categories,latitude,longitude,fsq_id
22,MELD Kitchen + Sandwich Bar,"1120 S Walton Blvd, Bentonville, AR 72712",['Dining and Drinking'],36.35846,-94.216426,5af1dabe95d9860039bc926b
23,The Purple Banana,"900 S Main St, Bentonville, AR 72712",['Taco Restaurant'],36.362983,-94.209681,e268ff3c2f954b307c89820a
24,PX Asian Food Truck,"404 SW A St, Bentonville, AR 72712","['Bubble Tea Shop', 'Chinese Restaurant']",36.367812,-94.210578,3ba5247b52914d672ac1c7a6
25,Trickdilly,"501 SW A St, Bentonville, AR 72712",['Food Truck'],36.3667,-94.209723,53bc1f30498e09a2d6403c79
26,Pho Thanh,"1204 S Walton Blvd, Bentonville, AR 72712",['Vietnamese Restaurant'],36.358574,-94.215107,5c3b88204b78c5002c8bf1a7
27,Night Owl Tavern,"401 SW A St, Bentonville, AR 72712","['Bar', 'Restaurant']",36.367719,-94.210021,5f5055f8a6f92e0a0d296713
28,Trash Creamery,"401 SW A St, Bentonville, AR 72712","['Ice Cream Parlor', 'Restaurant']",36.367784,-94.210008,5d65ec384d67cb00086168d8
29,Walmart Bakery,"406 S Walton Blvd, Bentonville, AR 72712",['Bakery'],36.368196,-94.224902,599281f259fe5c55c9d8ad7f
30,Domino's Pizza,"406 S Walton Blvd, Bentonville, AR 72712","['Pizzeria', 'Fast Food Restaurant']",36.368175,-94.224978,5f5bdca6c23cdf2dc1258501
31,Tree House,"310 S Main St, Bentonville, AR 72712",['Bar'],36.36879,-94.209229,615a0801e9afed76e2255910
32,Grounds For Thought,"405 S Main St, Bentonville, AR 72712","['Burger Joint', 'Coffee Shop', 'American Restaurant']",36.367764,-94.208284,4f3245bb19836c91c7c74ec9
33,Cycle Path Cafe,"405 S Main St, Bentonville, AR 72712","['Café', 'Coffee Shop', 'Deli']",36.367828,-94.208271,5189472e498e350d3bcc16da
34,Rolling Taco Mexican Food,"410 SW 8th St, Bentonville, AR 72712",['Restaurant'],36.364475,-94.213412,6dc723777e11ddb22405b392
35,The Witching Hour,"704 SW A St, Bentonville, AR 72712",['Burger Joint'],36.365047,-94.210633,10e412a4215740372c7e2891
36,The HUB Bike Lounge,"410 SW A St, Bentonville, AR 72712","['Cocktail Bar', 'Lounge', 'Cafe, Coffee, and Tea House']",36.367122,-94.210646,d502368115b345d94b0eae48
37,Spud Doctors,"903 SW A St, Bentonville, AR 72712",['Restaurant'],36.363291,-94.210123,88f1fb8d0d7e4c8622f9aa8d
